texte_id,niveau,institution,type_texte,titre,presentateur,origine,statut,date_reference,theme,url_officielle,qualite
FR-AN-17-1286,France,Assemblée nationale,Proposition de résolution,Simplifier l’organisation de certains scrutins et l’examen des lois organiques,Yaël Braun-Pivet,Initiative parlementaire,Adopté,2025-06-04,Règlement parlementaire,https://www.assemblee-nationale.fr/dyn/17/dossiers/simplifier_organisation_certains_scrutins_examen_lois_organiques_17e,Démonstration vérifiée
FR-SEN-2026-AGRI,France,Sénat,Projet de loi,Protection et souveraineté agricoles,Gouvernement,Initiative gouvernementale,Scrutins disponibles,2026-06-29,Agriculture,https://www.senat.fr/scrutin-public/2025/scr2025-322.html,Démonstration vérifiée
FR-SEN-2026-LPM,France,Sénat,Projet de loi,Actualisation de la programmation militaire 2024-2030,Gouvernement,Initiative gouvernementale,Scrutins disponibles,2026-06-02,Défense,https://www.senat.fr/scrutin-public/dossiers/pjl25-635_scr.html,Démonstration vérifiée
EU-EP-2024,Union européenne,Parlement européen,Jeu de textes adoptés,Textes adoptés par le Parlement européen en 2024,Parlement européen,Procédures législatives et non législatives,Dataset officiel,2024-12-31,Union européenne,https://data.europarl.europa.eu/en/datasets/texts-adopted-by-the-european-parliament-year2024,Point d’entrée officiel
FR-SEN-2026-AIDE-MOURIR,France,Sénat,Proposition de loi,Proposition de loi relative au droit à l’aide à mourir,Initiative parlementaire,Initiative parlementaire,Rejetée au Sénat,2026-01-28,Santé et société,https://www.senat.fr/scrutin-public/2025/scr2025-169.html,Résultat officiel
FR-SEN-2026-DEVOIR-CONJUGAL,France,Sénat,Proposition de loi,Proposition de loi visant à mettre fin au devoir conjugal,Initiative parlementaire,Initiative parlementaire,Adoptée au Sénat,2026-04-09,Droits et société,https://www.senat.fr/scrutin-public/2025/scr2025-226.html,Résultat officiel
FR-SEN-2026-AIDE-MOURIR-2,France,Sénat,Proposition de loi,"Droit à l’aide à mourir — deuxième lecture, article 2",Initiative parlementaire,Initiative parlementaire,Article rejeté,2026-05-11,Santé et société,https://www.senat.fr/scrutin-public/2025/scr2025-265.html,Résultat officiel
