texte_id,titre,institution,type_texte,presentateur,statut,theme,date_debut_observee,date_fin_observee,duree_jours,nombre_lectures,reunions_commission,seances_publiques,amendements_deposes,amendements_adoptes_x,qualite,amendements_recenses,amendements_adoptes_y,taux_adoption_amendements_pct,scrutins_recenses,scrutins_adoptes,participation_moyenne_pct,clivage_moyen,taux_adoption_scrutins_pct,decrets_attendus,decrets_publies,taux_application_pct,statut_application,source_url,score_documentation_pct
FR-AN-17-1286,Simplifier l’organisation de certains scrutins et l’examen des lois organiques,Assemblée nationale,Proposition de résolution,Yaël Braun-Pivet,Adopté,Règlement parlementaire,2025-05-15,2025-06-04,20.0,1.0,1.0,1.0,0.0,0.0,Données partielles issues du dossier officiel,0.0,,,0.0,0.0,,,,0.0,0.0,,Non applicable à une résolution interne,,60.0
FR-SEN-2026-AGRI,Protection et souveraineté agricoles,Sénat,Projet de loi,Gouvernement,Scrutins disponibles,Agriculture,2026-06-01,2026-06-29,28.0,1.0,1.0,1.0,1.0,0.0,Durée calculée sur la période documentée dans la V5,0.0,,,1.0,1.0,95.1,41.3,100.0,,,,Texte non promulgué dans l'échantillon,,80.0
FR-SEN-2026-LPM,Actualisation de la programmation militaire 2024-2030,Sénat,Projet de loi,Gouvernement,Scrutins disponibles,Défense,2026-05-01,2026-06-02,32.0,1.0,1.0,1.0,2.0,2.0,Durée calculée sur la période documentée dans la V5,2.0,2.0,100.0,1.0,1.0,,,100.0,,,,Texte non promulgué dans l'échantillon,,60.0
EU-EP-2024,Textes adoptés par le Parlement européen en 2024,Parlement européen,Jeu de textes adoptés,Parlement européen,Dataset officiel,Union européenne,,,,0.0,0.0,0.0,,,Dataset agrégé : durée non calculable,0.0,,,0.0,0.0,,,,,,,,,40.0
FR-SEN-2026-AIDE-MOURIR,Proposition de loi relative au droit à l’aide à mourir,Sénat,Proposition de loi,Initiative parlementaire,Rejetée au Sénat,Santé et société,2026-01-01,2026-01-28,27.0,1.0,1.0,1.0,0.0,0.0,Données partielles,0.0,,,1.0,0.0,98.0,40.3,0.0,0.0,0.0,,Texte rejeté,,80.0
FR-SEN-2026-DEVOIR-CONJUGAL,Proposition de loi visant à mettre fin au devoir conjugal,Sénat,Proposition de loi,Initiative parlementaire,Adoptée au Sénat,Droits et société,2026-03-01,2026-04-09,39.0,1.0,1.0,1.0,0.0,0.0,Données partielles,0.0,,,1.0,1.0,95.7,0.9,100.0,,,,Application à documenter,,80.0
FR-SEN-2026-AIDE-MOURIR-2,"Droit à l’aide à mourir — deuxième lecture, article 2",Sénat,Proposition de loi,Initiative parlementaire,Article rejeté,Santé et société,2026-04-15,2026-05-11,26.0,1.0,1.0,1.0,0.0,0.0,Données partielles,0.0,,,1.0,0.0,94.0,43.9,0.0,0.0,0.0,,Article rejeté,,80.0
