texte_id,titre,institution,theme,scrutins_documentes,amendements_documentes,procedure_documentee,application_documentee,couverture_pct
FR-AN-17-1286,Simplifier l’organisation de certains scrutins et l’examen des lois organiques,Assemblée nationale,Règlement parlementaire,0,0,1,1,50.0
FR-SEN-2026-AGRI,Protection et souveraineté agricoles,Sénat,Agriculture,1,0,1,1,75.0
FR-SEN-2026-LPM,Actualisation de la programmation militaire 2024-2030,Sénat,Défense,1,1,1,1,100.0
EU-EP-2024,Textes adoptés par le Parlement européen en 2024,Parlement européen,Union européenne,0,0,1,0,25.0
FR-SEN-2026-AIDE-MOURIR,Proposition de loi relative au droit à l’aide à mourir,Sénat,Santé et société,1,0,1,1,75.0
FR-SEN-2026-DEVOIR-CONJUGAL,Proposition de loi visant à mettre fin au devoir conjugal,Sénat,Droits et société,1,0,1,1,75.0
FR-SEN-2026-AIDE-MOURIR-2,"Droit à l’aide à mourir — deuxième lecture, article 2",Sénat,Santé et société,1,0,1,1,75.0
