texte_id,duree_jours,nombre_lectures,reunions_commission,seances_publiques,amendements_deposes,indice_mobilisation,note
FR-AN-17-1286,20.0,1.0,1.0,1.0,0.0,20.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
FR-SEN-2026-AGRI,28.0,1.0,1.0,1.0,1.0,20.5,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
FR-SEN-2026-LPM,32.0,1.0,1.0,1.0,2.0,21.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
FR-SEN-2026-AIDE-MOURIR,27.0,1.0,1.0,1.0,0.0,20.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
FR-SEN-2026-DEVOIR-CONJUGAL,39.0,1.0,1.0,1.0,0.0,20.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
FR-SEN-2026-AIDE-MOURIR-2,26.0,1.0,1.0,1.0,0.0,20.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
EU-EP-2024,,,,,,0.0,Indice calculé à partir des seules données disponibles ; il ne représente pas le nombre réel d'heures travaillées.
