texte_id,decrets_attendus,decrets_publies,taux_application_pct,statut_application,source_url,titre,institution,type_texte,statut,ecart_decrets
FR-AN-17-1286,0.0,0.0,,Non applicable à une résolution interne,,Simplifier l’organisation de certains scrutins et l’examen des lois organiques,Assemblée nationale,Proposition de résolution,Adopté,0.0
FR-SEN-2026-AGRI,,,,Texte non promulgué dans l'échantillon,,Protection et souveraineté agricoles,Sénat,Projet de loi,Scrutins disponibles,
FR-SEN-2026-LPM,,,,Texte non promulgué dans l'échantillon,,Actualisation de la programmation militaire 2024-2030,Sénat,Projet de loi,Scrutins disponibles,
FR-SEN-2026-AIDE-MOURIR,0.0,0.0,,Texte rejeté,,Proposition de loi relative au droit à l’aide à mourir,Sénat,Proposition de loi,Rejetée au Sénat,0.0
FR-SEN-2026-DEVOIR-CONJUGAL,,,,Application à documenter,,Proposition de loi visant à mettre fin au devoir conjugal,Sénat,Proposition de loi,Adoptée au Sénat,
FR-SEN-2026-AIDE-MOURIR-2,0.0,0.0,,Article rejeté,,"Droit à l’aide à mourir — deuxième lecture, article 2",Sénat,Proposition de loi,Article rejeté,0.0
